POP Temp1 Temp2 Temp3 Temp4
HUG 0.338468057125442 -0.268886350272133 -2.94167823960393 -0.176267228563477
INC -6.70131785489217 -1.22924511751831 2.69973370111827 -1.14178336421012
IVA 0.88524801633668 -3.80137380987582 -4.13317337849618 3.01301068710538
KAL 5.41860855637246 1.56558729997285 -1.27224819390341 -1.13370483827441
KAN -3.31960370413723 0.943822697154953 0.743299105632707 -1.3567674290771
KAS 1.99289929678469 -0.598262734585417 -2.34053792007622 -1.01751719475672
KAW -2.24636323035183 0.6341922328835 0.437661401931373 -2.24165377824446
KEN 7.92949090439759 1.51092599083457 -2.39861213237835 3.46152244753352
KEO -3.67543439893867 0.123058489049015 -1.53550921605585 0.344365593923527
KHU 1.03794385302315 -0.606836202612114 -3.17645830924215 -0.559818893499816
